domain,label
www812.paypal.ca.89094.securessl-610.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.visi.com/~gyles19/mushing.shtml,0
www117.paypal.ca.88079.securessl-100.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_03B51073DC5BFA68AE89,1
www.gammon.com.au/pennmush/win32mush.htm,0
www851.paypal.ca.45355.securessl-110.mx/js/web.apps/ca/m.pp/?cmnd=_lg&amp;nav=_BE7B089E77883868E4B2,1
www.metamage.com/mush/,0
www913.paypal.ca.30313.securessl-140.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.black-knight.org/mudcore/,0
www539.paypal.ca.81902.securessl-170.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_5CE59467A3F6E4679A0B,1
www.mushcode.com/Building.aspx,0
p-k-53.ru/includes/cares/sec-fr/errer.php?cmd=_error_login-run&amp;dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af436580c63a156ebffe89e7779ac84ebf634880c63a156ebffe89e7779ac84ebf6348,1
www.tinymux.org/wiki,0
www380.paypal.ca.33741.securessl-130.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.andreasen.org/newmud/,0
www296.paypal.ca.90658.securessl-140.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP296,1
www.andreasen.org/16k.shtml,0
www657.paypal.ca.67301.securessl-160.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.mudconnect.com/mudfaq/mudfaq-p4.html,0
www216.paypal.ca.74439.securessl-610.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP216,1
www.mudmagic.com/hosting/,0
www211.paypal.ca.53249.securessl-100.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
kydance.net/pages/mu_hosting,0
www768.paypal.ca.48676.securessl-510.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
mud.stack.nl/intermud/,0
p-k-53.ru/Diplom/sec-fr/Confirm.php?cmd=_error_login-run&amp;dispatch=5885d80a13c0db1fb6947b0aeae66fdbfb2119927117e3a6f876e0fd34af436580c63a156ebffe89e7779ac84ebf634880c63a156ebffe89e7779ac84ebf6348,1
www.smile.ath.cx/downloads.html,0
helpcenter.pusku.com/yahoo.php,1
www.twyst.org/sunnet/,0
indiqueestesite.k6.com.br/,1
www.mudbytes.net/intermud,0
www906.paypal.ca.41451.securessl-810.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP906,1
tintin.sourceforge.net/msdp/arachnos/,0
www911.paypal.ca.66001.securessl-610.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
tintin.sourceforge.net/mccp,0
www.novoanocielo.com/MaquinaCielo/ClienteArea/home.html,1
www.moo.mud.org/mcp/mcp2.html,0
www049.paypal.ca.31502.securessl-110.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_CB7996DA78987722447B,1
www.awns.com/mcp/,0
www484.paypal.ca.33173.securessl-100.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP484,1
www.zuggsoft.com/zmud/mxp.htm,0
www.surpreendapontos.com.br/Sites/PF/,1
www.kmuddy.com/libmxp/,0
krystalls.hol.es,1
tintin.sourceforge.net/msdp,0
www566.paypal.ca.88738.securessl-140.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
tintin.sourceforge.net/mssp/,0
www754.paypal.ca.93308.securessl-190.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.coremud.org/sounds/test.html,0
www350.paypal.ca.56488.securessl-810.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP350,1
www.zuggsoft.com/zmud/msp.htm,0
wof4ik-2013.16mb.com/,1
www.tigerden.com/~infopage/muck/,0
electa-lg.com/wp-includes/js/jcrop/www.telstra.com.au/billing/action/payment/onlinepayment/update/onlinepayment.php,1
maelstrom.areth.org/mud/,0
www908.paypal.ca.14506.securessl-150.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.mudconnect.com/discuss/discuss.cgi,0
www426.paypal.ca.58377.securessl-410.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.topmudsites.com/forums,0
www178.paypal.ca.34685.securessl-810.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
wora.netlosers.com/wiki/,0
cielo90380.site90.com/cadastro3.html,1
www.nyx.net/~epass/pbemlist.html,0
www009.paypal.ca.16497.securessl-110.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.dougmorris.net/nmghsh/,0
www997.paypal.ca.14407.securessl-170.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.gamerz.net/pbmserv/dots.html,0
www582.paypal.ca.40471.securessl-110.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP582,1
groups.yahoo.com/group/Socialnomic-DML/,0
www350.paypal.ca.58942.securessl-150.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.tesseract.org/nomic/,0
www451.paypal.ca.91112.securessl-310.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP451,1
www.gamerz.net/pbmserv/,0
www770.paypal.ca.97933.securessl-120.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.fwtwr.com/fwtwr/,0
www306.paypal.ca.83192.securessl-140.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.pbm.com/~lindahl/pbm.html,0
www166.paypal.ca.75285.securessl-110.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_E732CEF338007892556A,1
www.angelfire.com/electronic/LaCosaNostra/index.html,0
www722.paypal.ca.82577.securessl-100.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
tech.groups.yahoo.com/group/PBMDesign/,0
www966.paypal.ca.13649.securessl-190.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.angelfire.com/stars2/quizz2000/,0
www439.paypal.ca.37762.securessl-140.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP439,1
www.naoworld.com/advanced,0
www830.paypal.ca.42188.securessl-150.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.angelfire.com/emo/challengeyourbrain/home.html,0
www424.paypal.ca.25404.securessl-100.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_A4F8A8108907CCCD0EF7,1
twotrees.www.50megs.com/attic/index.html,0
www841.paypal.ca.37193.securessl-110.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_E824763199F2E0A52A0C,1
www.angelfire.com/anime2/Dreamscape/Intro.html,0
www668.paypal.ca.96328.securessl-410.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP668,1
www.angelfire.com/rpg/free/,0
www536.paypal.ca.96285.securessl-610.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.freewebs.com/careyjane/,0
www587.paypal.ca.18953.securessl-210.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
z7.invisionfree.com/Cresent_Dreams/index.php,0
www927.paypal.ca.76192.securessl-130.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.freewebs.com/athanlor/,0
redecadaumpro.com.br/rwwerfdg/system/seguranca5/98RGDXL4.html,1
www.freewebs.com/w0lf_pack/,0
www.promocielo.us.to/,1
z3.invisionfree.com/Nahele_Wolves/index.php,0
www.preparednessseeds.com/store/wp-content/themes/mk3/phpthumb/login.htm,1
www.freewebs.com/lostinmists,0
'usedcarforsaleuk.co.uk/payment/us/cgi-bin/webscr\%3fcmd=xptMarketing_CommandDriven/paypal/index1.php',1
www.salvajewolves.net/forum/,0
www537.paypal.ca.56428.securessl-210.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.angelfire.com/games2/pantheon/,0
www233.paypal.ca.42734.securessl-140.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.freewebs.com/albanyhighrp/,0
www601.paypal.ca.63679.securessl-150.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP601,1
www.angelfire.com/anime/aagrpg/,0
www534.paypal.ca.39477.securessl-210.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP534,1
www.angelfire.com/rpg2/vortexshadow/arethanehome.html,0
www879.paypal.ca.46896.securessl-190.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.angelfire.com/nv/tmyst/,0
www413.paypal.ca.24331.securessl-150.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.angelfire.com/rpg2/desade/DeSade.html,0
www705.paypal.ca.33902.securessl-710.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
richards.sdf1.org/dice/,0
www870.paypal.ca.74775.securessl-710.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP870,1
www.angelfire.com/rnb/ClubInsomnia/index.html,0
www834.paypal.ca.87770.securessl-510.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_383288E2A568AD1AB58F,1
www.angelfire.com/ok2/dbzrpg/,0
www024.paypal.ca.15024.securessl-110.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_elpolacoRomanRomanowski,1
www.freewebs.com/krivan/,0
www381.paypal.ca.45899.securessl-160.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
s4.invisionfree.com/YJUTT/index.php,0
www097.paypal.ca.14884.securessl-710.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
therealx-men.tripod.com/main.htm,0
www650.paypal.ca.55489.securessl-110.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP650,1
www.freewebs.com/serium/,0
www534.paypal.ca.46847.securessl-610.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.freewebs.com/johngoldenwolf/,0
www467.paypal.ca.93491.securessl-160.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.netdragons.com/games/vq1/,0
www106.paypal.ca.63215.securessl-210.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.angelfire.com/fl2/nuetralforum/,0
www953.paypal.ca.55777.securessl-140.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.angelfire.com/games/ffsim/index.html,0
www595.paypal.ca.51863.securessl-110.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP595,1
www.angelfire.com/ok3/auroramatrix/,0
www494.paypal.ca.14334.securessl-140.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP494,1
www.angelfire.com/ri/Myst/,0
www299.paypal.ca.11167.securessl-100.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.angelfire.com/al2/Aquila/index.html,0
'www.vnservice.info/Remax/Secure Login.html',1
www.angelfire.com/games/FantasySOLDIER/index.html,0
www956.paypal.ca.44414.securessl-310.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP956,1
members.tripod.com/realmofamaraya/,0
beads2treasure.com/info/media/system/aapf/?cli=Cliente&/63841/58368.php,1
www.angelfire.com/rpg2/empiresrealm/,0
'www.sppk.ac.th/garden/tmp/http:/\%20/bb.com.br/',1
www.angelfire.com/realm2/redriver/,0
www188.paypal.ca.34042.securessl-190.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP188,1
www.freewebs.com/shattered_lands/,0
www385.paypal.ca.24574.securessl-310.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.angelfire.com/droid/desperatehearts/index.html,0
www226.paypal.ca.84044.securessl-110.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_7866A56DFFD701265E4C,1
www.angelfire.com/ri/TheCharm/Charm.html,0
www731.paypal.ca.57453.securessl-710.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.angelfire.com/ks/rhydin/index.html,0
www003.paypal.ca.43173.securessl-710.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP003,1
members.tripod.com/~balambschool/index.html,0
www222.paypal.ca.85900.securessl-190.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.angelfire.com/de/SCoR/rules.html,0
www978.paypal.ca.20753.securessl-510.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.angelfire.com/ma2/newhope/whitehope.html,0
www502.paypal.ca.45070.securessl-510.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_BEE881139B074C83E1FF,1
www.angelfire.com/rpg/CoN/,0
nyanshenyesecondary.com/remax/index.htm,1
pub21.bravenet.com/vote/vote.php?usernum=1725863343,0
www054.paypal.ca.88349.securessl-410.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.angelfire.com/va/aiyana/,0
www161.paypal.ca.59533.securessl-180.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP161,1
www.angelfire.com/mo/BloodJoy/Bestiary.html,0
www251.paypal.ca.44118.securessl-910.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_E5E2A29DD883D8B7A268,1
www.angelfire.com/games/belouvemanor/,0
www.paypal.com.ch.cgi.bin.webscr.cmd.login.processing.login.cmd.login-donelogin.access12213011.ayasport.com/ch/secure-code190/cgi-bin/,1
www.freewebs.com/ascentia/,0
www.paypal.com.ch.cgi.bin.webscr.cmd.login.processing.login.cmd.login-donelogin.access12213011.ayasport.com/ch/,1
members.tripod.com/~Tintara/Tintara.html,0
www291.paypal.ca.76501.securessl-810.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP291,1
www.katyberry.com/Katarina/main.html,0
www783.paypal.ca.28111.securessl-150.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.angelfire.com/al2/emberwyndt/,0
www596.paypal.ca.16609.securessl-160.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
gambit4ace.tripod.com/index.html,0
www170.paypal.ca.20749.securessl-150.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.angelfire.com/il/starfire/,0
www371.paypal.ca.70004.securessl-170.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
skyleah.tripod.com/index.html,0
www032.paypal.ca.82572.securessl-910.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
moon_blade.tripod.com/index.html,0
www875.paypal.ca.48603.securessl-120.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.angelfire.com/ia/rhydin/redd.html,0
johand.mytrial2u.com/bhmvz/verhptindex.htm,1
www.angelfire.com/de/demonciawz/origin.html,0
www700.paypal.ca.60328.securessl-100.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_2D7D373995AEEB74CB43,1
jax69.tripod.com/Jawa777.html,0
www124.paypal.ca.44001.securessl-210.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_8EEC893856972C2E4BC8&action=_edit,1
www.angelfire.com/yt/3s/index2.html,0
www243.paypal.ca.98565.securessl-190.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
smoke_wolfwynd.tripod.com/smokes_webpage_main_page.htm,0
'www.allegropl.xaa.pl/enter_login.html?session=OGY1YgQGXQALBwcxzvcxNYWgFVVgMPBgANAAcEAwMHDg1cUlEBAFNbDABQAwEHUlvcbcvxcgbcANzA5OA\%3D\%3D&amp;global_login_hash=1f0f47e7fcvxvvc8fb48f851c41eafvdgdg33a7&amp;session_login_hash=e4baf33efvdsfdsg6422224f66b652028fvcxfvde726&amp;url=N2NjOAwWQBYNTExZCAzxzdfvzgfhfgVgAAVxEMQElzBgFZEAdHSXMGAVkQB0dIRwsTFxYHRxZYDRBdIg1GCvdgdgcxzcszdfbgFRWZGI0Zg\%3D\%3D&amp;cod=OGZkcsVlNmcsk&amp;version=A',1
www.angelfire.com/mi/Valior/,0
'www.allegropl.xaa.pl/enter_login.html?session=OGY1YgQGXQALBwcxzvcxNYWgFVVgMPBgANAAcEAwMHDg1cUlEBAFNbDABQAwEHUlvcbcvxcgbcANzA5OA\%3D\%3D&amp;global_login_hash=1f0f47e7fcvxvvc8fb48f851c41eafvdgdg33a7&amp;session_login_hash=e4baf33efvdsfdsg6422224f66b652028fvcxfvde726&amp;url=N2NjOAwWQBYNTExZCAzxzdfvzgfhfg\%5CVgAAVxEMQElzBgFZEAdHSXMGAVkQB0dIRwsTFxYHRxZYDRBdIg1GCvdgdgcxzcszdfbgFRWZGI0Zg\%3D\%3D&amp;cod=OGZkcsVlNmcsk&amp;version=A',1
www.angelfire.com/ks/MelayneDre/index.html,0
www750.paypal.ca.37500.securessl-810.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_02814DC91065C65B1AB4,1
www.angelfire.com/ab/loveaugust/index.html,0
www282.paypal.ca.21542.securessl-150.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_3EFB62F6EC5A38B9342C,1
www.angelfire.com/mo/SashaJaguar/,0
www708.paypal.ca.61963.securessl-190.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
sausage.web.tripod.com/isis.html,0
socmarket.net//wp-content/plugins/wp-noie6/Trulia/index.htm,1
www.angelfire.com/in/PAdNoctum/,0
www613.paypal.ca.58197.securessl-110.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP613,1
members.tripod.com/Divinityknight/,0
www362.paypal.ca.91011.securessl-190.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP362,1
www.angelfire.com/md/CoMB/Fairgone.html,0
www905.paypal.ca.35838.securessl-910.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_1D6122DA435BC59C0C0D,1
www.angelfire.com/la/NightTorch/DeathwingX.html,0
www235.paypal.ca.80911.securessl-190.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_DD8FAB5494D185659BE9,1
www.angelfire.com/bc/BHC/cartemis.html,0
www742.paypal.ca.81244.securessl-210.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
gairk.tripod.com/Gairk.htm,0
www907.paypal.ca.13447.securessl-610.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.angelfire.com/rpg/gallows/,0
www287.paypal.ca.91254.securessl-190.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.angelfire.com/in2/RavenosoftheRedRobes/,0
www092.paypal.ca.89784.securessl-120.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP092,1
www.angelfire.com/nj/demoness/tristan.html,0
www160.paypal.ca.17915.securessl-180.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_4F76F6381BA1345824C0,1
gryphonguild.critter.net/Biopage/bios/renchnon.html,0
www526.paypal.ca.87790.securessl-180.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP526,1
www.angelfire.com/realm/sapphireraven/index.html,0
www549.paypal.ca.36225.securessl-180.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.angelfire.com/extreme/kenzie/,0
www517.paypal.ca.23348.securessl-710.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP517,1
www.angelfire.com/ga/ghosthound/ryslynn.html,0
www952.paypal.ca.83371.securessl-150.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_246C2489381D53323784,1
cyrilmydon.tripod.com/cgi-bin/main.html,0
www089.paypal.ca.15578.securessl-910.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.angelfire.com/ks/autumnrose/autumn.html,0
www639.paypal.ca.68271.securessl-410.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.angelfire.com/empire/cainexodus/index.html,0
paypal.com.us.cgi-bin.webscr.cmd.login-submit.dispatch.5885d80a13c0db1f8e263663d3faee83d0fa72c947f193f8fd.nossoreencontro.portalcapoeira.com/paypal-uus/paypal-us/compte/paiement1/facture1/1280&amp;bih/6d04d95eef6a940279571399ba1c398a/login.php,1
www.angelfire.com/nh/Rhydin/Ariadne.html,0
www309.paypal.ca.98990.securessl-150.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_74F5AC04FE72C1BBC18C,1
fyrebratt.tripod.com/Calli.html,0
www490.paypal.ca.92615.securessl-100.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP490,1
www.angelfire.com/ab/caraeve/cara.html,0
www463.paypal.ca.48410.securessl-180.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_E2BDF24D5FE4D7A8A058,1
www.angelfire.com/nj/demoness/Elwen.html,0
www197.paypal.ca.66991.securessl-120.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.angelfire.com/on/daalarus/red.html,0
www694.paypal.ca.47063.securessl-610.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
mageduncan.tripod.com/index.html,0
cynthiacoffield.com/paypal.com/webapp/login.php,1
www.angelfire.com/nm/Kat/index.html,0
www295.paypal.ca.44396.securessl-210.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
dfkok.tripod.com/tora.htm,0
www543.paypal.ca.42927.securessl-210.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP543,1
drevonstjames.tripod.com/index-6.html,0
www135.paypal.ca.22409.securessl-710.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP135,1
www.angelfire.com/fl2/sealforce5/,0
www649.paypal.ca.65493.securessl-710.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.angelfire.com/wi/arkanian/RoyalGuard.html,0
www877.paypal.ca.90654.securessl-150.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.angelfire.com/ga2/agentrush/,0
paypal.com.us.cgi-bin.webscr.cmd.login-submit.dispatch.5885d80a13c0db1f8e263663d3faee83d0fa72c947f193f8fd.nossoreencontro.portalcapoeira.com/paypal-uus/paypal-us/compte/paiement1/facture1/1280&bih/e86ad0d5eccf227b3711d4d7aacdbeda/login.php,1
www.angelfire.com/ga2/superbeast/myfile.html,0
www460.paypal.ca.51389.securessl-160.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
crazeecreature.tripod.com/page2.html,0
www765.paypal.ca.33646.securessl-510.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_9A70CAE797123E3E382C,1
lrdlstvamp.tripod.com/brenna.htm,0
www642.paypal.ca.12067.securessl-120.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP642,1
www.angelfire.com/ct2/azraeldvg/,0
www314.paypal.ca.91715.securessl-910.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=system_email_PP314,1
www.angelfire.com/fl/TrueVampire/index.html,0
www389.paypal.ca.56574.securessl-160.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.angelfire.com/ns/Bridget/index.html,0
www064.paypal.ca.45243.securessl-610.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.angelfire.com/in/lostfirez/clastan.html,0
www928.paypal.ca.96380.securessl-810.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.angelfire.com/in/cynthiastone/index.html,0
www186.paypal.ca.98108.securessl-910.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.angelfire.com/nc/kravitz/,0
www632.paypal.ca.61547.securessl-140.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_DE0710835DFD7D6472B9,1
morannadracul.tripod.com/index.html,0
www373.paypal.ca.13631.securessl-310.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.angelfire.com/pa2/peaceful/index.html,0
www528.paypal.ca.74982.securessl-170.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
www.angelfire.com/ny/vinylblond/,0
www820.paypal.ca.65555.securessl-510.mx/js/web.apps/ca/m.pp/?cmnd=_lg&nav=_051C03CBB4253C7DC2FE,1
www.angelfire.com/ny/rhydin3/sarah.html,0
www573.paypal.ca.76963.securessl-410.mx/js/web.apps/ca/m.pp/?cmnd=_lg&action=_edit,1
qnslvrthne.tripod.com/index.html,0
